interview__key,num_prod,tipo_prod,cosecha_anual,u_cosecha_anual,otra_unid_c_anual,consum_humano,consum_animal,porc_humano,porc_animal,mercad_nac_min,mercad_nac_may,mercad_extra,por_nac_min,por_nac_may,por_extra,cosecha_estimada,u_cosecha_estimada,ha_cosecha_estimada,cosecha_final,u_cosecha_final,ha_cosecha_final,pro_c_perdida1,pro_c_perdida2,pro_c_perdida3,pro_c_perdida4,pro_c_perdida5,pro_c_perdida6,otro_pro_c_perdida
04-18-54-61,4,Lechuga,2000,4,cajas/hectarea,1,0,NA,NA,1,0,0,NA,NA,NA,2500,5,NA,16000,5,NA,1,0,0,0,0,0,
04-18-54-61,5,Brócoli,14,4,ton/hectarea,1,0,NA,NA,1,0,0,NA,NA,NA,18,3,7,98,2,NA,1,0,0,0,0,0,
04-18-54-61,6,Apio,1600,4,cajas/hectareas,1,0,NA,NA,1,0,0,NA,NA,NA,2100,5,NA,8000,5,NA,1,0,0,0,0,0,
04-18-54-61,7,Coliflor,12,2,,1,0,NA,NA,1,0,0,NA,NA,NA,15,2,NA,36,2,NA,1,0,0,0,0,0,
68-55-62-58,1,Maíz,250,2,,1,0,NA,NA,1,0,0,NA,NA,NA,450,2,NA,250,2,NA,1,0,0,0,0,0,
75-87-47-50,1,Garbanzo,5,2,,1,0,NA,NA,1,0,0,NA,NA,NA,8,2,NA,5,2,NA,0,0,0,0,1,0,
99-55-56-30,1,Papaya,400,2,,1,1,80,20,0,1,0,NA,NA,NA,500,2,NA,375,2,NA,1,0,0,0,0,0,
99-55-56-30,2,Tomate,20,2,,1,0,NA,NA,1,1,0,40,60,NA,100,2,NA,40,2,NA,1,0,0,0,0,0,
99-55-56-30,3,Elote,75,2,,1,1,50,50,1,0,0,NA,NA,NA,150,2,NA,75,2,NA,1,0,0,0,0,0,
50-50-62-56,1,Maíz,5,2,,1,1,20,80,1,0,0,NA,NA,NA,10,2,NA,5,2,NA,1,0,0,0,0,0,
74-77-62-54,1,Caña de azúcar,200,2,,1,1,95,5,0,1,0,NA,NA,NA,300,2,NA,200,2,NA,1,0,0,1,0,0,
74-77-62-54,2,Calabaza pipian,1,2,,1,1,50,50,1,0,0,NA,NA,NA,2,2,NA,1,2,NA,0,0,1,0,0,0,
41-48-62-44,1,Papaya,15000,2,,1,0,NA,NA,1,1,1,5,5,90,20000,2,NA,15000,2,NA,0,0,0,0,1,0,
40-42-66-97,1,Papaya,4000,2,,1,0,NA,NA,1,1,1,5,15,80,4000,2,NA,4000,2,NA,0,1,0,0,1,0,
27-89-11-29,1,Chile habanero,80,2,,1,0,NA,NA,0,1,0,NA,NA,NA,50,3,1.5,40,3,1.5,1,0,0,0,0,0,
