interview__key,fecha,hora_acc,cve_entrevistador
33-09-39-82,19/11/2020,01:24:22,E110103
33-09-39-82,19/11/2020,01:24:33,E110103
33-09-39-82,19/11/2020,01:24:33,E110103
33-09-39-82,19/11/2020,02:01:12,admin
75-61-09-61,19/11/2020,01:25:47,E110105
75-61-09-61,19/11/2020,01:25:47,E110105
75-61-09-61,19/11/2020,01:25:47,E110105
75-61-09-61,19/11/2020,01:25:47,E110105
75-61-09-61,19/11/2020,01:25:49,E110105
75-61-09-61,19/11/2020,01:29:54,E110105
75-61-09-61,19/11/2020,01:30:00,E110105
75-61-09-61,19/11/2020,01:31:38,E110105
75-61-09-61,19/11/2020,01:31:41,E110105
75-61-09-61,19/11/2020,01:37:19,E110105
75-61-09-61,19/11/2020,01:37:19,E110105
75-61-09-61,19/11/2020,02:05:11,admin
94-01-32-67,15/11/2020,19:02:29,E110104
94-01-32-67,15/11/2020,19:02:29,E110104
94-01-32-67,15/11/2020,19:02:29,E110104
94-01-32-67,15/11/2020,19:02:29,E110104
94-01-32-67,15/11/2020,19:02:29,E110104
94-01-32-67,15/11/2020,19:16:42,E110104
94-01-32-67,15/11/2020,19:16:57,E110104
94-01-32-67,15/11/2020,19:18:15,E110104
94-01-32-67,15/11/2020,19:18:15,E110104
94-01-32-67,18/11/2020,16:58:21,E110104
94-01-32-67,18/11/2020,16:58:21,E110104
94-01-32-67,18/11/2020,17:00:29,E110104
94-01-32-67,18/11/2020,17:00:33,E110104
94-01-32-67,18/11/2020,17:01:24,E110104
94-01-32-67,18/11/2020,17:01:24,E110104
94-01-32-67,19/11/2020,00:09:44,admin
62-26-83-91,18/11/2020,23:13:03,E140101
62-26-83-91,18/11/2020,23:13:03,E140101
62-26-83-91,18/11/2020,23:13:03,E140101
62-26-83-91,18/11/2020,23:13:03,E140101
62-26-83-91,18/11/2020,23:13:04,E140101
62-26-83-91,18/11/2020,23:20:07,E140101
62-26-83-91,18/11/2020,23:20:07,E140101
62-26-83-91,18/11/2020,23:48:22,admin
20-71-86-36,16/11/2020,20:12:07,E110105
20-71-86-36,16/11/2020,20:12:07,E110105
20-71-86-36,16/11/2020,20:12:07,E110105
20-71-86-36,16/11/2020,20:12:07,E110105
20-71-86-36,16/11/2020,20:12:09,E110105
20-71-86-36,16/11/2020,20:13:24,E110105
20-71-86-36,16/11/2020,23:41:25,E110105
20-71-86-36,16/11/2020,23:42:44,E110105
20-71-86-36,16/11/2020,23:44:18,E110105
20-71-86-36,16/11/2020,23:44:26,E110105
20-71-86-36,16/11/2020,23:44:26,E110105
20-71-86-36,16/11/2020,23:44:36,E110105
20-71-86-36,16/11/2020,23:44:36,E110105
20-71-86-36,16/11/2020,23:46:37,E110105
20-71-86-36,16/11/2020,23:46:38,E110105
20-71-86-36,16/11/2020,23:48:26,E110105
20-71-86-36,16/11/2020,23:48:28,E110105
20-71-86-36,17/11/2020,00:03:28,E110105
20-71-86-36,17/11/2020,01:29:48,E110105
20-71-86-36,17/11/2020,01:30:58,E110105
20-71-86-36,17/11/2020,02:57:39,E110105
20-71-86-36,17/11/2020,03:04:55,E110105
20-71-86-36,17/11/2020,03:06:41,E110105
20-71-86-36,17/11/2020,03:09:47,E110105
20-71-86-36,17/11/2020,03:10:53,E110105
20-71-86-36,17/11/2020,03:12:18,E110105
20-71-86-36,17/11/2020,03:13:59,E110105
20-71-86-36,17/11/2020,03:17:25,E110105
20-71-86-36,17/11/2020,03:17:27,E110105
20-71-86-36,17/11/2020,03:18:15,E110105
20-71-86-36,17/11/2020,03:18:15,E110105
20-71-86-36,19/11/2020,02:05:11,admin
80-78-89-92,19/11/2020,01:38:16,E110105
80-78-89-92,19/11/2020,01:38:16,E110105
80-78-89-92,19/11/2020,01:38:16,E110105
80-78-89-92,19/11/2020,01:38:16,E110105
80-78-89-92,19/11/2020,01:38:17,E110105
80-78-89-92,19/11/2020,01:39:52,E110105
80-78-89-92,19/11/2020,01:40:16,E110105
80-78-89-92,19/11/2020,01:47:20,E110105
80-78-89-92,19/11/2020,01:47:20,E110105
80-78-89-92,19/11/2020,02:05:11,admin
15-02-62-54,18/11/2020,23:37:06,E140101
15-02-62-54,18/11/2020,23:37:06,E140101
15-02-62-54,18/11/2020,23:37:06,E140101
15-02-62-54,18/11/2020,23:37:06,E140101
15-02-62-54,18/11/2020,23:37:06,E140101
15-02-62-54,18/11/2020,23:40:49,E140101
15-02-62-54,18/11/2020,23:40:49,E140101
15-02-62-54,18/11/2020,23:48:22,admin
50-46-70-99,19/11/2020,01:47:55,E110105
