interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
22-69-64-75,2,Crema,Crema,60,3,,20,1,,2000,la caducidad,10,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
18-62-71-19,1,Harina,Harina,2,2,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
18-62-71-19,2,Huevo,Huevo,92,1,,15,1,,1000,pzas rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
18-62-71-19,3,Azúcar,Azúcar,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-55-11-13,1,Pollo fresco,Pollo,547,1,,164,1,,5000,que esté golpeado el pollo,164,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
81-30-37-04,1,Tamales,Tamales,2750,6,Pieza,150,6,Pieza,2400,Falta de demanda por cambio de clima (aumentó el calor),125,6,Pieza,3,,125,6,Pieza,1,0 a 5 personas
28-46-36-32,1,Venta de pollo,Pollo,20000,1,,50,1,,15000,por temporada economica,25,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
10-14-92-72,1,Arrachera,Arrachera,150,1,,20,1,,2000,por el manejo de preparación,20,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
10-14-92-72,2,Carne molida,Carne molida,100,1,,5,1,,800,La preparación,5,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
10-14-92-72,3,Longaniza,Carnes frías y embutidos,200,1,,20,1,,1000,preparación,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,2,6 a 10 personas
62-92-67-84,1,Comida del día,Comida preparada,1000,6,platillos,30,6,platillos,2550,Falta de clientes,30,6,platillos,9,,#NULL!,#NULL!,,2,6 a 10 personas
88-05-83-73,1,Venta de carne de res,Carne de res,60,1,,5,1,,5000,por la grasa y desperdicio,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
44-28-49-31,1,Espinaca,Espinaca,72,1,,16,1,,128,producto maltratado,16,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
44-28-49-31,2,Brócoli,Brócoli,20,1,,6,1,,60,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
44-28-49-31,3,Lechuga romana,Lechuga,196,6,piezas,25,6,pzas,375,por que vienen agusanadas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
37-12-48-61,1,Pollo,Pollo,3,2,,9,1,,800,falta de venta y exceso de inventario,4,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
